video_id,title,keyword,keyword_zh,school_slug,school_zh,township_slug,sentence_1,sentence_1_zh,sentence_2,sentence_2_zh,youtube
ZG7LpZ909HI,Word of the Day: jump rope competition 跳繩比賽,jump rope competition,跳繩比賽,chengkung,彰化縣溪州鄉成功國小,xizhou,The students participate in a jump rope competition.,學生們參加跳繩比賽。,Many students participate in the jump rope competition.,許多學生參加跳繩比賽。,https://www.youtube.com/watch?v=ZG7LpZ909HI
OGT727HyV0A,Word of the Day: virtual reality 虛擬實境,virtual reality,虛擬實境,chungshan,彰化縣彰化市中山國小,changhua-city,The students are doing virtual reality.,學生們正在做虛擬實境。,They use headsets and controls to do virtual reality.,他們使用耳機和控制來實現虛擬實境。,https://www.youtube.com/watch?v=OGT727HyV0A
ooFvX9xaaSU,Word of the Day: tea culture 茶文化,tea culture,茶文化,chungshan,彰化縣彰化市中山國小,changhua-city,"In tea culture, the host prepares tea for the guests.",在茶文化中，主人為客人泡茶。,Tea culture is very important in Taiwan.,茶文化在台灣非常重要。,https://www.youtube.com/watch?v=ooFvX9xaaSU
NSkWk7y8uEM,Word of the Day: agriculture class 食農課,agriculture class,食農課,xizhou,彰化縣溪州鄉溪州國小,xizhou,"In the agriculture class, students loosen the soil and mix in fertilizer.",在農業課上，學生鬆土、施肥。,They learn basic farming skills by working together outdoors during the agriculture class.,他們在農業課上一起在戶外工作，學習基本的農耕技能。,https://www.youtube.com/watch?v=NSkWk7y8uEM
gK1EDBku6xM,Word of the Day: meeting 會議,meeting,會議,wanlai,彰化縣北斗鎮萬來國小,beidou,Teachers and parents attend the Class Parent-Teacher Meeting for the new semester.,老師和家長們參加了新學期的班級親師座談會。,"During the meeting, the parents are learning about the curriculum of the school.",在會議期間，家長們了解學校的課程。,https://www.youtube.com/watch?v=gK1EDBku6xM
Tb3vK1eAQPM,Word of the Day: midterm exams 期中考,midterm exams,期中考,wanlai,彰化縣北斗鎮萬來國小,beidou,"Midterm exams are exams given around the midpoint of a grading term, such as a quarter or semester.",期中考是一個期中的考試，有可能學季制或是學期制。,Students spend a lot of time and effort preparing for their midterm exams.,同學們花很多時間與精力準備期中考。,https://www.youtube.com/watch?v=Tb3vK1eAQPM
BU9Bk4pMPmM,Word of the Day: computer class 電腦課,computer class,電腦課,wanlai,彰化縣北斗鎮萬來國小,beidou,The students learn how to use computers in computer class.,同學們在電腦課中學習如何使用電腦。,Each student uses a computer during computer class.,每個學生在電腦課的時候都有一台電腦可以使用。,https://www.youtube.com/watch?v=BU9Bk4pMPmM
L7OW4WBLG7c,Word of the Day: Chinese class 國語課,Chinese class,國語課,shuiwei,彰化縣溪州鄉水尾國小,xizhou,The students are in Chinese class.,同學們正在上國語課。,They learn Chinese idioms in Chinese class.,他們在國語課學習中文的成語、詞語。,https://www.youtube.com/watch?v=L7OW4WBLG7c
IS-pcd5fQiE,Word of the Day: mobile library 行動圖書館,mobile library,行動圖書館,tachu,彰化縣彰化市大竹國小,changhua-city,The mobile library is a truck that's been converted into a small library.,行動圖書館是由卡車改裝的小圖書館。,The mobile library can bring lots of books to students at different schools!,行動圖書館可以將書帶給不同學校的學生閱讀。,https://www.youtube.com/watch?v=IS-pcd5fQiE
qQmWVusi0gQ,Word of the Day: shoot 投籃,shoot,投籃,tachu,彰化縣彰化市大竹國小,changhua-city,The students are practicing shooting the basketball.,學生正在練習投籃。,They take turns shooting the ball.,他們輪流投籃。,https://www.youtube.com/watch?v=qQmWVusi0gQ
