video_id,title,keyword,keyword_zh,school_slug,school_zh,school_raw,school_status,township_slug,sentence_1,sentence_1_zh,sentence_2,sentence_2_zh,youtube,in_existing_csv
5FOGpVB7RXM,Word of the Day: film crew 攝影團隊,film crew,攝影團隊,chengkung,彰化縣溪州鄉成功國小,彰化縣溪州鄉成功國小西畔分校,ok,xizhou,The students show their best talents to the film crew.,學生們向攝影團隊展現他們最好的才華。,The students work together with the film crew to capture school life.,學生們與攝影團隊通力合作，以捕捉校園生活的精彩畫面。,https://www.youtube.com/watch?v=5FOGpVB7RXM,True
t95SHv6ZEsU,Word of the Day: sentence 句子,sentence,句子,chengkung,彰化縣溪州鄉成功國小,彰化縣溪州鄉成功國小西畔分校,ok,xizhou,The students chat to learn more words in every sentence.,學生們透過交談，從每個句子中認識更多單字。,The students chat with the foreign teacher to practice the weekly sentence.,學生們透過與外籍老師交談，來練習「每週一句」。,https://www.youtube.com/watch?v=t95SHv6ZEsU,True
OgRNIQNzFfA,Word of the Day: singing contest 歌唱比賽,singing contest,歌唱比賽,chengkung,彰化縣溪州鄉成功國小,彰化縣溪州鄉成功國小西畔分校,ok,xizhou,The students stand on the stage to sing beautiful songs to win the singing contest.,學生們站在舞台上，唱著動聽的歌，希望能贏得這場歌唱比賽。,They are brave on the stage in front of the judges during the singing contest.,在歌唱比賽期間，他們在評審面前的舞台上表現得非常勇敢。,https://www.youtube.com/watch?v=OgRNIQNzFfA,True
Onwtcf4PoIA,Word of the Day: experience 體驗,experience,體驗,chingshan,彰化縣員林市青山國小,彰化縣員林市青山國小,ok,yuanlin-city,The students use wooden molds to experience the process of making Red Turtle Cakes.,學生們使用木模，來體驗製作紅龜粿的過程。,This activity is a great way to experience the traditional culture and history.,這活動體驗傳統文化與歷史的絕佳方式。,https://www.youtube.com/watch?v=Onwtcf4PoIA,True
5XJK3eKu38g,Word of the Day: field trip 校外教學,field trip,校外教學,chingshan,彰化縣員林市青山國小,彰化縣員林市青山國小,ok,yuanlin-city,They observed many new things during their field trip.,他們在校外教學觀察到許多新事物。,The students go on a field trip.,學生們去校外教學。,https://www.youtube.com/watch?v=5XJK3eKu38g,True
iwRz0xe3Nao,Word of the Day: craft 手工藝品,craft,手工藝品,xizhou,彰化縣溪州鄉溪州國小,彰化縣溪州鄉溪州國小,ok,xizhou,The students used their imagination to create special and fun crafts.,學生們發揮想像力，創作了既特別又有趣的手工藝品。,The students made many beautiful New Year crafts at the winter art camp.,學生們在寒假藝術營做了許多漂亮的春節手工藝品。,https://www.youtube.com/watch?v=iwRz0xe3Nao,True
ay6umIYJjSk,Word of the Day: jump rope 跳繩,jump rope,跳繩,houliao,彰化縣芳苑鄉後寮國小,彰化縣芳苑鄉後寮國小,ok,fangyuan,Jump rope is a good way to stay active and healthy.,跳繩是保持活躍和健康的好方法。,The students enjoy playing jump rope at recess.,課間休息時，學生喜歡玩跳繩。,https://www.youtube.com/watch?v=ay6umIYJjSk,True
KhxKpaHsjT8,Word of the Day: soccer 足球,soccer,足球,houliao,彰化縣芳苑鄉後寮國小,彰化縣芳苑鄉後寮國小,ok,fangyuan,The students are working on their soccer skills on the field.,學生們正在球場上練習足球技巧。,They are learning to control the soccer ball with their feet.,他們正在學習用腳控制足球。,https://www.youtube.com/watch?v=KhxKpaHsjT8,True
PiEAygAlFpA,Word of the Day: school flag 校旗,school flag,校旗,chungshan,彰化縣彰化市中山國小,彰化縣彰化市中山國小,ok,changhua-city,The students are practicing carrying the school flag for Sports Day.,學生們正在為校慶練習會旗進場。,The school flag stands for teamwork and sportsmanship.,校旗代表著團隊合作與運動家精神。,https://www.youtube.com/watch?v=PiEAygAlFpA,True
cFFtRFMCBw4,Word of the Day: indigo dyeing 藍染,indigo dyeing,藍染,xizhou,彰化縣溪州鄉溪州國小,彰化縣溪州鄉溪州國小,ok,xizhou,The students are practicing indigo dyeing to make beautiful patterns.,學生們正在練習藍染，來製作漂亮的圖案。,The students are soaking the cloth for indigo dyeing.,學生們正在為了藍染而浸泡布料。,https://www.youtube.com/watch?v=cFFtRFMCBw4,True
mrP7OW0BaYk,Word of the Day: SEL 社會情緒學習,SEL,社會情緒學習,xizhou,彰化縣溪州鄉溪州國小,彰化縣溪州鄉溪州國小,ok,xizhou,The students learn about emotions at the SEL book exhibition.,學生們在 SEL 主題書展學習關於情緒的知識。,They use iPads and worksheets to explore SEL.,他們使用平板電腦和學習單來探索 SEL。,https://www.youtube.com/watch?v=mrP7OW0BaYk,True
Cv_n3TUmviA,Word of the Day: homework 家庭作業,homework,家庭作業,sigang,彰化縣大城鄉西港國小,彰化縣大城鄉西港國小,ok,dacheng,The students are quietly doing their homework in the classroom.,學生們正在教室裡安靜地做作業。,The homework helps them review what they have learned in class.,作業幫助他們複習在課堂上學到的知識。,https://www.youtube.com/watch?v=Cv_n3TUmviA,True
-uUIihojNvs,Word of the Day: shoot 投籃,shoot,投籃,sigang,彰化縣大城鄉西港國小,彰化縣大城鄉西港國小,ok,dacheng,The students are practicing shooting the basketball.,學生正在練習投籃。,They take turns shooting the ball.,他們輪流投籃。,https://www.youtube.com/watch?v=-uUIihojNvs,True
hGKr3m0tUmk,Word of the Day: Push Hands 推手,Push Hands,推手,sigang,彰化縣大城鄉西港國小,彰化縣大城鄉西港國小,ok,dacheng,"The students are practicing ""Push Hands"" to learn balance.",學生們正在練習「推手」來學習平衡。,"The teacher shows them how to stay steady in ""Push Hands"" class.",老師在「推手」課上教他們如何保持穩固。,https://www.youtube.com/watch?v=hGKr3m0tUmk,True
v_9W87F8V7U,Word of the Day: bubble 泡泡,bubble,泡泡,renfeng,彰化縣田尾鄉仁豐國小,彰化縣田尾鄉仁豐國小,ok,tianwei,The students are making bubbles using different tools.,學生們正在使用許多不同的工具製作泡泡。,They learn that making bubbles always creates round shapes.,他們學到製作泡泡總是會產生圓形的形狀。,https://www.youtube.com/watch?v=v_9W87F8V7U,True
VGZ84VjD6Hs,Word of the Day: Song Jiang Battle Array 宋江陣,Song Jiang Battle Array,宋江陣,renfeng,彰化縣田尾鄉仁豐國小,彰化縣田尾鄉仁豐國小,ok,tianwei,The students are practicing Song Jiang Battle Array together.,學生們正在一起練習宋江陣。,Song Jiang Battle Array needs great teamwork and skills.,宋江陣需要強大的團隊默契與技巧。,https://www.youtube.com/watch?v=VGZ84VjD6Hs,True
YgS8YTTwUmk,Word of the Day: law 法律,law,法律,raoming,彰化縣員林市饒明國小,彰化縣員林市饒明國小,ok,yuanlin-city,The students are learning about the law.,學生們正在學習關於法律的知識。,This lesson teaches them basic law knowledge.,這堂課教導他們基本的法治常識。,https://www.youtube.com/watch?v=YgS8YTTwUmk,True
R28W3pjQ6X4,Word of the Day: throw 丟、扔,throw,丟、扔,raoming,彰化縣員林市饒明國小,彰化縣員林市饒明國小,ok,yuanlin-city,The students are practicing throwing the ball far away.,學生們正在練習把球丟遠。,They take turns throwing the ball on the running track.,他們在跑道上輪流丟球。,https://www.youtube.com/watch?v=R28W3pjQ6X4,True
Z8CRulcshwI,Word of the Day: Halo halo 菲律賓冰品,Halo halo,菲律賓冰品,wanlai,彰化縣北斗鎮萬來國小,彰化縣北斗鎮萬來國小,ok,beidou,"The students are making the famous Filipino dessert, Halo-halo.",學生們正在製作著名的菲律賓甜點：Halo-halo。,"They are mixing various ingredients, such as fruits and crushed ice, to make their own Halo-halo.",他們正在混合各種配料，像是水果和碎冰，來製作自己的Halo-halo甜點。,https://www.youtube.com/watch?v=Z8CRulcshwI,True
us8PMr_dPD8,Word of the Day: Zentangle 禪繞畫,Zentangle,禪繞畫,tachu,彰化縣彰化市大竹國小,彰化縣彰化市大竹國小,ok,changhua-city,The students are enjoying a fun Zentangle art class.,學生們正在享受一堂有趣的禪繞畫藝術課。,They use simple lines and patterns in their Zentangle art to feel calm and relax.,他們在禪繞畫藝術中使用簡單的線條和圖案，讓自己感到平靜和放鬆。,https://www.youtube.com/watch?v=us8PMr_dPD8,True
z4PKXqhtE20,Word of the Day: square meter 平方公尺,square meter,平方公尺,tachu,彰化縣彰化市大竹國小,彰化縣彰化市大竹國小,ok,changhua-city,Students make a one square meter template in math class.,學生們在數學課上製作一個一平方公尺的模板。,They use the template to measure things and understand the square meter.,他們使用模板來測量東西並了解平方公尺。,https://www.youtube.com/watch?v=z4PKXqhtE20,True
sSERvm6uT9Y,Word of the Day: sports equipment 體育器材,sports equipment,體育器材,tachu,彰化縣彰化市大竹國小,彰化縣彰化市大竹國小,ok,changhua-city,Students sometimes need to check out sports equipment for their physical education (PE) class.,學生們有時需要借用體育課器材（PE equipment）來上他們的體育課。,They must sign the register to borrow the sports equipment and sign them back in after class.,他們必須簽名登記才能借用體育器材（PE equipment），並在下課後簽名歸還。,https://www.youtube.com/watch?v=sSERvm6uT9Y,True
dtNOIxpcQTI,Word of the Day: cyanotype 藍曬,cyanotype,藍曬,tachu,彰化縣彰化市大竹國小,彰化縣彰化市大竹國小,ok,changhua-city,The students are doing a hands-on cyanotype art project.,學生們正在做一個動手操作的藍曬藝術專案。,They are following steps to make a cyanotype print.,他們正在按照步驟製作一張藍曬版畫/照片。,https://www.youtube.com/watch?v=dtNOIxpcQTI,True
iNp1AxrQ2J0,Word of the Day: exhibit 展覽,exhibit,展覽,santan,彰化縣田中鎮三潭國小,彰化縣田中鎮三潭國小,ok,tianzhong,The students are looking closely at the exhibits to learn about the 'Made in Changhua' spirit.,學生們正在仔細觀看展品，以學習「彰化製造」的精神。,They are listening to the guide for the different high-tech and traditional exhibits.,他們聽導覽員說明各種高科技和傳統展品。,https://www.youtube.com/watch?v=iNp1AxrQ2J0,True
v6LMj_1Q2LE,Word of the Day: vaccine 疫苗,vaccine,疫苗,santan,彰化縣田中鎮三潭國小,彰化縣田中鎮三潭國小,ok,tianzhong,The students are waiting to get the flu vaccines.,學生們正在等待接種流感疫苗。,Many healthcare workers came to the school to give students their vaccines.,許多醫護人員來到學校為學生接種疫苗。,https://www.youtube.com/watch?v=v6LMj_1Q2LE,True
tQ9qqoVe6SQ,Word of the Day: charity sale 義賣,charity sale,義賣,chengkung,彰化縣溪州鄉成功國小,彰化縣溪州鄉成功國小暨西畔分校,ok,xizhou,The sixth-grade students held a charity sale to raise money for their graduation trip.,六年級的學生們舉辦了一場慈善義賣，為畢業旅行籌集資金。,They sold drinks and desserts to customers at their booth during the charity sale.,在義賣期間，他們在自己的攤位上向顧客出售飲料和甜點。,https://www.youtube.com/watch?v=tQ9qqoVe6SQ,True
ZG7LpZ909HI,Word of the Day: jump rope competition 跳繩比賽,jump rope competition,跳繩比賽,chengkung,彰化縣溪州鄉成功國小,彰化縣溪州鄉成功國小暨西畔分校,ok,xizhou,The students participate in a jump rope competition.,學生們參加跳繩比賽。,Many students participate in the jump rope competition.,許多學生參加跳繩比賽。,https://www.youtube.com/watch?v=ZG7LpZ909HI,False
FhcjEMrmfXE,Word of the Day: meeting 會議,meeting,會議,chengkung,彰化縣溪州鄉成功國小,彰化縣溪州鄉成功國小暨西畔分校,ok,xizhou,Teachers and parents attend the Class Parent-Teacher Meeting for the new semester.,老師和家長們參加了新學期的班級親師座談會。,"During the meeting, the parents are learning about the curriculum of the school.",在會議期間，家長們了解學校的課程。,https://www.youtube.com/watch?v=FhcjEMrmfXE,True
vpWt_i5CbYg,Word of the Day: SH150 program SH150方案,SH150 program SH150,方案,chengkung,彰化縣溪州鄉成功國小,彰化縣溪州鄉成功國小暨西畔分校,ok,xizhou,Students are participating in the SH150 program by doing daily stretches and running.,學生們正在進行日常伸展和跑步來參與 SH150 方案。),The goal of SH150 program is to promote regular exercise and better fitness for students.,SH150 的目標是促進學生的規律運動和更好的體適能。,https://www.youtube.com/watch?v=vpWt_i5CbYg,True
kK7S5EzBJuk,Word of the Day: swimming class 游泳課,swimming class,游泳課,chengkung,彰化縣溪州鄉成功國小,彰化縣溪州鄉成功國小暨西畔分校,ok,xizhou,The students learn how to swim in swimming class.,同學們在游泳課時學習如何游泳。,They learn the basics of swimming in swimming class.,他們在游泳課時學習游泳的基本動作。,https://www.youtube.com/watch?v=kK7S5EzBJuk,True
