keyword,keyword_zh,sentence_1,sentence_1_zh,sentence_2,sentence_2_zh,school,youtube
film crew (n.),攝影團隊,The students show their best talents to the film crew.,學生們向攝影團隊展現他們最好的才華。,The students work together with the film crew to capture school life.,學生們與攝影團隊通力合作，以捕捉校園生活的精彩畫面。,彰化縣溪州鄉成功國小,https://www.youtube.com/watch?v=5FOGpVB7RXM
sentence (n.),句子,The students chat to learn more words in every sentence.,學生們透過交談，從每個句子中認識更多單字。,The students chat with the foreign teacher to practice the weekly sentence.,學生們透過與外籍老師交談，來練習「每週一句」。,彰化縣溪州鄉成功國小,https://www.youtube.com/watch?v=t95SHv6ZEsU
singing contest (n.),歌唱比賽,The students stand on the stage to sing beautiful songs to win the singing contest.,學生們站在舞台上，唱著動聽的歌，希望能贏得這場歌唱比賽。,They are brave on the stage in front of the judges during the singing contest.,在歌唱比賽期間，他們在評審面前的舞台上表現得非常勇敢。,彰化縣溪州鄉成功國小,https://www.youtube.com/watch?v=OgRNIQNzFfA
experience (v.),體驗,The students use wooden molds to experience the process of making Red Turtle Cakes.,學生們使用木模，來體驗製作紅龜粿的過程。,This activity is a great way to experience the traditional culture and history.,這活動體驗傳統文化與歷史的絕佳方式。,彰化縣員林市青山國小,https://www.youtube.com/watch?v=Onwtcf4PoIA
field trip (n.),校外教學,They observed many new things during their field trip.,他們在校外教學觀察到許多新事物。,The students go on a field trip.,學生們去校外教學。,彰化縣員林市青山國小,https://www.youtube.com/watch?v=5XJK3eKu38g
craft (n.),手工藝品,The students used their imagination to create special and fun crafts.,學生們發揮想像力，創作了既特別又有趣的手工藝品。,The students made many beautiful New Year crafts at the winter art camp.,學生們在寒假藝術營做了許多漂亮的春節手工藝品。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=iwRz0xe3Nao
jump rope (n.),跳繩,Jump rope is a good way to stay active and healthy.,跳繩是保持活躍和健康的好方法。,The students enjoy playing jump rope at recess.,課間休息時，學生喜歡玩跳繩。,彰化縣芳苑鄉後寮國小,https://www.youtube.com/watch?v=ay6umIYJjSk
soccer (n.),足球,The students are working on their soccer skills on the field.,學生們正在球場上練習足球技巧。,They are learning to control the soccer ball with their feet.,他們正在學習用腳控制足球。,彰化縣芳苑鄉後寮國小,https://www.youtube.com/watch?v=KhxKpaHsjT8
school flag (n.),校旗,The students are practicing carrying the school flag for Sports Day.,學生們正在為校慶練習會旗進場。,The school flag stands for teamwork and sportsmanship.,校旗代表著團隊合作與運動家精神。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=PiEAygAlFpA
indigo dyeing (n.),藍染,The students are practicing indigo dyeing to make beautiful patterns.,學生們正在練習藍染，來製作漂亮的圖案。,The students are soaking the cloth for indigo dyeing.,學生們正在為了藍染而浸泡布料。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=cFFtRFMCBw4
SEL (n.),社會情緒學習,The students learn about emotions at the SEL book exhibition.,學生們在 SEL 主題書展學習關於情緒的知識。,They use iPads and worksheets to explore SEL.,他們使用平板電腦和學習單來探索 SEL。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=mrP7OW0BaYk
homework (n.),家庭作業,The students are quietly doing their homework in the classroom.,學生們正在教室裡安靜地做作業。,The homework helps them review what they have learned in class.,作業幫助他們複習在課堂上學到的知識。,彰化縣大城鄉西港國小,https://www.youtube.com/watch?v=Cv_n3TUmviA
shoot (v.),投籃,The students are practicing shooting the basketball.,學生正在練習投籃。,They take turns shooting the ball.,他們輪流投籃。,彰化縣大城鄉西港國小,https://www.youtube.com/watch?v=-uUIihojNvs
