video_id,youtube,title,keyword,keyword_zh,school_raw,status,desc_preview
bY00IV_dWzM,https://www.youtube.com/watch?v=bY00IV_dWzM,Word of the Day: running 跑步,running,跑步,台中市神岡區豐洲國小,out_of_county,"台中市神岡區豐洲國小 | During the school anniversary, students of various ages are participating in a running race on the track.  | 在校慶期間，不同年齡的學生正在跑道上"
YQtcFq3xe6U,https://www.youtube.com/watch?v=YQtcFq3xe6U,Word of the Day: session 活動,session,活動,台中市神岡區豐洲國小,out_of_county,台中市神岡區豐洲國小 | A local teacher and a foreign teacher collaborate to lead an engaging storytelling session.  | 中師和一位外師合作，帶領一場引人入勝的說故事活動。 | Duri
K5inXsD_Oo0,https://www.youtube.com/watch?v=K5inXsD_Oo0,Word of the Day: dance 跳舞,dance,跳舞,台中市神岡區豐洲國小,out_of_county,台中市神岡區豐洲國小 | The students dance to the music. 學生們跟隨著音樂節奏跳舞。 | The students dance together in class. 學生們在課堂上一起舞蹈。
E7fDBbbZO64,https://www.youtube.com/watch?v=E7fDBbbZO64,Word of the Day: rehearsal (n) 排練,rehearsal (n),排練,台中市神岡區豐洲國小,out_of_county,台中市神岡區豐洲國小 | The students have a rehearsal for their sports day later.   | 同學們為即將到來的運動會排練。 | The students practice their dance at the rehear
MQr1W0ZpxU0,https://www.youtube.com/watch?v=MQr1W0ZpxU0,Word of the Day: school anniversary 校慶,school anniversary,校慶,台中市神岡區豐洲國小,out_of_county,台中市神岡區豐洲國小 | Feng Chou Elementary School is celebrating their school anniversary.  | 豐洲小學正在慶祝建校週年紀念。 |   | All students perform a dance at t
vVF1jeM7PZU,https://www.youtube.com/watch?v=vVF1jeM7PZU,Word of the Day: exercise (v) 運動,exercise (v),運動,台中市神岡區豐洲國小,out_of_county,台中市神岡區豐洲國小 | Morning exercise is a good way to start the day.  | 晨練是開始新一天的好方法。 | Students do different moves for about ten minutes for their
CuyqgFtOyo4,https://www.youtube.com/watch?v=CuyqgFtOyo4,Word of the Day: band (n) 樂隊,band (n),樂隊,台中市神岡區豐洲國小,out_of_county,台中市神岡區豐洲國小 | The band members practice every week.   | 樂隊成員每週固定練習。 | Students in the band play different instruments.  | 樂隊中的學生演奏不同的樂器。
WpckKlxpWJ8,https://www.youtube.com/watch?v=WpckKlxpWJ8,Word of the Day: fly kites 放風箏,fly kites,放風箏,CCC 紐約首府華社中文學校,ccc_ny,"CCC 紐約首府華社中文學校 | A group of students from New York visited Siling elementary and made their own kites. After their kites were finished, it w"
o2OQxphI1MU,https://www.youtube.com/watch?v=o2OQxphI1MU,Word of the Day: make kites 製作風箏,make kites,製作風箏,CCC 紐約首府華社中文學校,ccc_ny,"CCC 紐約首府華社中文學校 | Siling Elementary has a tradition of making kites. When a group of students from New York visited the school, they also had"
aZSaymcRsJQ,https://www.youtube.com/watch?v=aZSaymcRsJQ,Word of the Day: unicycle (n) 獨輪車,unicycle (n),獨輪車,CCC 紐約首府華社中文學校,ccc_ny,CCC 紐約首府華社中文學校 | Riding a unicycle is challenging.  | 騎獨輪車不容易。 | The students use handrails to help them maintain their balance on the unicy
A5U83CMDJJA,https://www.youtube.com/watch?v=A5U83CMDJJA,Word of the Day: icebreaker game 破冰遊戲,icebreaker game,破冰遊戲,CCC 紐約首府華社中文學校,ccc_ny,CCC 紐約首府華社中文學校 | The students from New York and the students from Taiwan have to participate in an icebreaker game.  | 紐約的學生和台灣的學生一同玩破冰遊戲。 |
UODMRkpoQD4,https://www.youtube.com/watch?v=UODMRkpoQD4,Word of the Day: HSR (high speed rail ) station 高鐵站,HSR (high speed rail ) station,高鐵站,CCC 紐約首府華社中文學校,ccc_ny,CCC 紐約首府華社中文學校 | The visiting students from New York go through the ticket gates after they get off the train at the HSR station in Changhua
8CiU9VsV4uc,https://www.youtube.com/watch?v=8CiU9VsV4uc,Word of the Day: pineapple (n) 鳳梨,pineapple (n),鳳梨,CCC 紐約首府華社中文學校,ccc_ny,"CCC 紐約首府華社中文學校 | The farmer is showing the pineapple field to his visitors.  | 農民正在向訪客展示鳳梨田。 | Usually, on-site visits can help people bette"
53DJELBww_E,https://www.youtube.com/watch?v=53DJELBww_E,Word of the Day: plucked string instrument 彈撥弦樂器,plucked string instrument,彈撥弦樂器,CCC 紐約首府華社中文學校,ccc_ny,CCC 紐約首府華社中文學校 | A plucked string instrument is played by using your fingers to move a string. 彈撥弦樂器是透過用手指移動琴弦來演奏的。 | Some examples of pluck
7pQ1IuIEuGI,https://www.youtube.com/watch?v=7pQ1IuIEuGI,Word of the Day: train (n) 火車 (修正版),train (n),火車 (修正版),彰化縣人師教育協會,mcc_self,"彰化縣人師教育協會 | The children wait on the platform for the train to arrive. 小朋友在月台等待火車到來。 | Once they get on the train, they wait to arrive at th"
vCshDQE5GZY,https://www.youtube.com/watch?v=vCshDQE5GZY,Word of the Day: erhu (n) 二胡,erhu (n),二胡,CCC 紐約首府華社中文學校,ccc_ny,紐約首府華社中文學校 | The teacher is teaching the students how to play a traditional Chinese instrument called the erhu.  | 這位音樂老師正在指導學生演奏一種名為「二胡」的傳統
AOSKmecB20k,https://www.youtube.com/watch?v=AOSKmecB20k,Word of the Day: gas stove 瓦斯爐 （修正版）,gas stove,瓦斯爐 （修正版）,彰化縣人師教育協會,mcc_self,彰化縣人師教育協會 | You need to turn the knob to turn on the gas stove.  | 你需要轉動旋鈕才能打開瓦斯爐。 | The gas stove is used to boil water and cook food.  | 瓦
WcckPL0478M,https://www.youtube.com/watch?v=WcckPL0478M,Word of the Day: skateboard (n) 滑板 （修正版）,skateboard (n),滑板 （修正版）,彰化縣人師教育協會,mcc_self,彰化縣人師教育協會 | There are many different designs on the skateboards.  | 滑板上有許多不同的設計。 | The worker prepares the skateboard by putting grip tape o
EN0mGYQBMPg,https://www.youtube.com/watch?v=EN0mGYQBMPg,Word of the Day: battery (n) 電池 （修正版）,battery (n),電池 （修正版）,彰化縣人師教育協會,mcc_self,彰化縣人師教育協會 | Kevin needs to replace a battery on his cell phone. | 凱文需要更換手機電池。 | He takes out the old battery to put in the new one. | 他取出舊電池
o0qFGh2h6AE,https://www.youtube.com/watch?v=o0qFGh2h6AE,Word of the Day: story (n) 故事 （修正版）,story (n),故事 （修正版）,台中市清水區清海國中,out_of_county,台中市清水區清海國中 | The students participate in telling a story in the reader's theater.  | 學生們參與讀者劇場講故事的活動。 | They go on stage and perform their s
